"","Sample_ID","Sample_date","Sample_site","Chl_a_ugL_L"
"832","20120813-1320_10m",2012-08-13,"1320_10m",2.136
"833","20120802-1279_20m",2012-08-02,"1279_20m",1.602
"834","20120802-1280_15m",2012-08-02,"1280_15m",2.92632
"835","20120802-1281_10m",2012-08-02,"1281_10m",3.37488
"836","20120802-1310_5m",2012-08-02,"1310_5m",1.10004
"837","20120802-1318_20m",2012-08-02,"1318_20m",1.87968
"838","20120802-1319_15m",2012-08-02,"1319_15m",3.6579
"839","20120827-1279_20m",2012-08-27,"1279_20m",3.78072
"840","20120827-1281_10m_CRN_801",2012-08-27,"1281_10m",3.05982
"841","20120917-1279_20m",2012-09-17,"1279_20m",1.7355
"842","20120917-1280_15m",2012-09-17,"1280_15m",3.37755
"843","20120917-1281_10m",2012-09-17,"1281_10m",1.9224
"844","20120917-1281_5m",2012-09-17,"1281_5m",7.08084
"845","20120917-1310_5m",2012-09-17,"1310_5m",3.6846
"846","20120917-1318_20m",2012-09-17,"1318_20m",2.21076
"847","20120917-1319_15m",2012-09-17,"1319_15m",5.46282
"848","20120917-1320_10m",2012-09-17,"1320_10m",5.57496
"849","20121001-1319_15m",2012-10-01,"1319_15m",2.91564
"850","20121002-1279_20m",2012-10-02,"1279_20m",5.835285
"851","20130507-1279_20m",2013-05-07,"1279_20m",0.20292
"852","20130507-1280_15m",2013-05-07,"1280_15m",3.49236
"853","20130507-1281_10m",2013-05-07,"1281_10m",0.51798
"854","20130507-1281_5m",2013-05-07,"1281_5m",1.04664
"855","20130507-1310_5m",2013-05-07,"1310_5m",0.60876
"856","20130507-1318_20m",2013-05-07,"1318_20m",0.9879
"857","20130507-1319_15m",2013-05-07,"1319_15m",2.21877
"858","20130507-1320_10m",2013-05-07,"1320_10m",2.0826
"859","20130520-1279_20m",2013-05-20,"1279_20m",1.87434
"860","20130520-1280_15m",2013-05-20,"1280_15m",2.36028
"861","20130520-1281_10m",2013-05-20,"1281_10m",1.47384
"862","20130520-1281_5m",2013-05-20,"1281_5m",1.7622
"863","20130520-1310_5m",2013-05-20,"1310_5m",0.60342
"864","20130520-1318_20m",2013-05-20,"1318_20m",1.34034
"865","20130520-1320_10m",2013-05-20,"1320_10m",1.47918
"866","20130617-1281_10m",2013-06-17,"1281_10m",1.18548
"867","20130617-1281_5m",2013-06-17,"1281_5m",1.00392
"868","20130703-1279_20m",2013-07-03,"1279_20m",0.85173
"869","20130703-1280_15m",2013-07-03,"1280_15m",0.69687
"870","20130703-1281_10m",2013-07-03,"1281_10m",0.45123
"871","20130703-1281_5m",2013-07-03,"1281_5m",0.33375
"872","20130703-1310_5m",2013-07-03,"1310_5m",0
"873","20130703-1318_20m",2013-07-03,"1318_20m",0.82503
"874","20130703-1319_15m",2013-07-03,"1319_15m",0.48327
"875","20130703-1320_10m",2013-07-03,"1320_10m",0.14685
"876","20130715-1279_20m",2013-07-15,"1279_20m",1.98114
"877","20130715-1280_15m",2013-07-15,"1280_15m",1.56462
"878","20130715-1281_10m",2013-07-15,"1281_10m",1.23354
"879","20130715-1281_5m",2013-07-15,"1281_5m",1.7889
"880","20130715-1310_5m",2013-07-15,"1310_5m",0.99858
"881","20130715-1318_20m",2013-07-15,"1318_20m",1.98114
"882","20130715-1319_15m",2013-07-15,"1319_15m",1.07334
"883","20130715-1320_10m",2013-07-15,"1320_10m",1.61535
"884","20130730-1279_20m",2013-07-30,"1279_20m",1.24422
"885","20130730-1280_15m",2013-07-30,"1280_15m",1.53792
"886","20130730-1281_10m",2013-07-30,"1281_10m",0.89712
"887","20130730-1281_5m",2013-07-30,"1281_5m",1.58064
"888","20130730-1310_5m",2013-07-30,"1310_5m",0.84372
"889","20130730-1318_20m",2013-07-30,"1318_20m",1.47384
"890","20130730-1319_15m",2013-07-30,"1319_15m",1.59132
"891","20130730-1320_10m",2013-07-30,"1320_10m",1.67142
"892","20130816-1279_20m",2013-08-16,"1279_20m",4.999575
"893","20130816-1280_15m",2013-08-16,"1280_15m",2.74743
"894","20130816-1281_10m",2013-08-16,"1281_10m",2.86224
"895","20130816-1281_5m",2013-08-16,"1281_5m",2.136
"896","20130816-1310_5m",2013-08-16,"1310_5m",1.61001
"897","20130816-1318_20m",2013-08-16,"1318_20m",2.19296
"898","20130816-1319_15m",2013-08-16,"1319_15m",2.58723
"899","20130816-1320_10m",2013-08-16,"1320_10m",2.08527
"900","20130829-1279_20m",2013-08-29,"1279_20m",3.37488
"901","20130829-1280_15m",2013-08-29,"1280_15m",2.136
"902","20130829-1281_10m",2013-08-29,"1281_10m",2.92632
"903","20130829-1281_5m",2013-08-29,"1281_5m",2.57388
"904","20130829-1310_5m",2013-08-29,"1310_5m",0.7476
"905","20130829-1318_20m",2013-08-29,"1318_20m",1.1214
"906","20130829-1319_15m",2013-08-29,"1319_15m",2.19474
"907","20130829-1320_10m",2013-08-29,"1320_10m",1.51656
"908","20130909-1279_20m",2013-09-09,"1279_20m",3.33483
"909","20130909-1280_15m",2013-09-09,"1280_15m",3.46833
"910","20130909-1281_10m",2013-09-09,"1281_10m",1.83429
"911","20130909-1281_5m",2013-09-09,"1281_5m",2.33358
"912","20130909-1310_5m",2013-09-09,"1310_5m",2.00517
"913","20130909-1318_20m",2013-09-09,"1318_20m",2.13333
"914","20130909-1319_15m",2013-09-09,"1319_15m",2.83821
"915","20130909-1320_10m",2013-09-09,"1320_10m",2.43237
"916","20130924-1319_15m",2013-09-24,"1319_15m",1.83429
"917","20131003-1279_20m",2013-10-03,"1279_20m",6.13032
"918","20131003-1281_10m",2013-10-03,"1281_10m",3.4176
"919","20131003-1281_5m",2013-10-03,"1281_5m",4.272
"920","20131010-1279_20m",2013-10-10,"1279_20m",6.37596
"921","20131010-1280_15m",2013-10-10,"1280_15m",7.72698
"922","20131010-1281_10m",2013-10-10,"1281_10m",3.8715
"923","20131010-1281_5m",2013-10-10,"1281_5m",3.54576
"924","20140424-1279_20m",2014-04-24,"1279_20m",0.22962
"925","20140424-1280_15m",2014-04-24,"1280_15m",1.49787
"926","20140424-1281_10m",2014-04-24,"1281_10m",1.77822
"927","20140424-1281_5m",2014-04-24,"1281_5m",0.28836
"928","20140513-1279_20m",2014-05-13,"1279_20m",1.7622
"929","20140513-1280_15m",2014-05-13,"1280_15m",3.91689
"930","20140513-1281_10m",2014-05-13,"1281_10m",3.74868
"931","20140513-1281_5m",2014-05-13,"1281_5m",2.06124
"932","20140513-1310_5m",2014-05-13,"1310_5m",1.34568
"933","20140513-1318_20m",2014-05-13,"1318_20m",1.48185
"934","20140513-1319_15m",2014-05-13,"1319_15m",0.79299
"935","20140513-1320_10m",2014-05-13,"1320_10m",3.30012
"936","20140521-1279_20m",2014-05-21,"1279_20m",4.17588
"937","20140521-1280_15m",2014-05-21,"1280_15m",5.2866
"938","20140521-1281_10m",2014-05-21,"1281_10m",5.73516
"939","20140521-1281_5m",2014-05-21,"1281_5m",3.471
"940","20140617-1310_5m",2014-06-17,"1310_5m",0.51264
"941","20140617-1318_20m",2014-06-17,"1318_20m",0.381428571
"942","20140617-1319_15m",2014-06-17,"1319_15m",0.36846
"943","20140617-1320_10m",2014-06-17,"1320_10m",0.2403
"944","20140711-1279_20m",2014-07-11,"1279_20m",0.52332
"945","20140711-1280_15m",2014-07-11,"1280_15m",2.39232
"946","20140711-1281_10m",2014-07-11,"1281_10m",1.78356
"947","20140711-1281_5m",2014-07-11,"1281_5m",2.38164
"948","20140711-1310_5m",2014-07-11,"1310_5m",0.92382
"949","20140711-1318_20m",2014-07-11,"1318_20m",2.39232
"950","20140711-1319_15m",2014-07-11,"1319_15m",2.20008
"951","20140711-1320_10m",2014-07-11,"1320_10m",1.32432
"952","20140718-1279_20m",2014-07-18,"1279_20m",1.12674
"953","20140718-1280_15m",2014-07-18,"1280_15m",1.74084
"954","20140718-1281_10m",2014-07-18,"1281_10m",2.403
"955","20140718-1281_5m",2014-07-18,"1281_5m",4.1919
"956","20140718-1310_5m",2014-07-18,"1310_5m",2.7501
"957","20140718-1318_20m",2014-07-18,"1318_20m",0.81168
"958","20140718-1319_15m",2014-07-18,"1319_15m",1.4685
"959","20140718-1320_10m",2014-07-18,"1320_10m",1.74618
"960","20140801-1279_20m",2014-08-01,"1279_20m",1.89036
"961","20140801-1280_15m",2014-08-01,"1280_15m",1.0146
"962","20140801-1281_10m",2014-08-01,"1281_10m",2.12265
"963","20140801-1281_5m",2014-08-01,"1281_5m",2.7768
"964","20140801-1310_5m",2014-08-01,"1310_5m",1.3083
"965","20140801-1318_20m",2014-08-01,"1318_20m",1.43646
"966","20140801-1319_15m",2014-08-01,"1319_15m",1.40175
"967","20140801-1320_10m",2014-08-01,"1320_10m",1.48452
"968","20140818-1279_20m",2014-08-18,"1279_20m",2.18406
"969","20140818-1280_15m",2014-08-18,"1280_15m",2.21076
"970","20140818-1281_10m",2014-08-18,"1281_10m",3.64188
"971","20140818-1281_5m",2014-08-18,"1281_5m",2.86758
"972","20140818-1310_5m",2014-08-18,"1310_5m",0.81702
"973","20140818-1318_20m",2014-08-18,"1318_20m",2.01318
"974","20140818-1319_15m",2014-08-18,"1319_15m",2.4564
"975","20140818-1320_10m",2014-08-18,"1320_10m",1.46316
"976","20140918-1279_20m",2014-09-18,"1279_20m",1.64472
"977","20140918-1280_15m",2014-09-18,"1280_15m",2.46708
"978","20140918-1281_10m",2014-09-18,"1281_10m",1.87701
"979","20140918-1281_5m",2014-09-18,"1281_5m",3.88752
"980","20140924-1319_15m",2014-09-24,"1319_15m",4.806
"981","20141002-1279_20m",2014-10-02,"1279_20m",3.204
"982","20141002-1280_15m",2014-10-02,"1280_15m",3.03846
"983","20141002-1281_10m",2014-10-02,"1281_10m",4.85406
"984","20141002-1281_5m",2014-10-02,"1281_5m",5.40942
"985","20141002-1310_5m",2014-10-02,"1310_5m",2.2695
"986","20141002-1318_20m",2014-10-02,"1318_20m",3.3375
"987","20141002-1319_15m",2014-10-02,"1319_15m",2.67
"988","20141002-1320_10m",2014-10-02,"1320_10m",1.23354
"989","20150507-1279_20m",2015-05-07,"1279_20m",1.7622
"990","20150507-1280_15m",2015-05-07,"1280_15m",2.64864
"991","20150507-1281_10m",2015-05-07,"1281_10m",0.73692
"992","20150507-1281_5m",2015-05-07,"1281_5m",2.49645
"993","20150507-1310_5m",2015-05-07,"1310_5m",2.06124
"994","20150507-1318_20m",2015-05-07,"1318_20m",3.44964
"995","20150507-1319_15m",2015-05-07,"1319_15m",2.36562
"996","20150507-1320_10m",2015-05-07,"1320_10m",1.22019
"997","20150521-1279_20m",2015-05-21,"1279_20m",1.31898
"998","20150521-1280_15m",2015-05-21,"1280_15m",3.13458
"999","20150521-1281_10m",2015-05-21,"1281_10m",5.83662
"1000","20150521-1281_5m",2015-05-21,"1281_5m",5.67642
"1001","20150521-1310_5m",2015-05-21,"1310_5m",1.28427
"1002","20150521-1318_20m",2015-05-21,"1318_20m",1.30029
"1003","20150521-1319_15m",2015-05-21,"1319_15m",3.6579
"1004","20150521-1320_10m",2015-05-21,"1320_10m",4.19724
"1005","20150604-1279_20m",2015-06-04,"1279_20m",0.78498
"1006","20150604-1280_15m",2015-06-04,"1280_15m",2.11998
"1007","20150604-1281_10m",2015-06-04,"1281_10m",0.65148
"1008","20150604-1281_5m",2015-06-04,"1281_5m",0.99324
"1009","20150604-1310_5m",2015-06-04,"1310_5m",0.20826
"1010","20150604-1318_20m",2015-06-04,"1318_20m",1.29228
"1011","20150604-1319_15m",2015-06-04,"1319_15m",0.62478
"1012","20150604-1320_10m",2015-06-04,"1320_10m",0.60342
"1013","20150618-1279_20m",2015-06-18,"1279_20m",1.21218
"1014","20150618-1280_15m",2015-06-18,"1280_15m",1.68744
"1015","20150618-1281_10m",2015-06-18,"1281_10m",1.1481
"1016","20150618-1281_5m",2015-06-18,"1281_5m",0.97722
"1017","20150618-1310_5m",2015-06-18,"1310_5m",1.1481
"1018","20150618-1318_20m",2015-06-18,"1318_20m",0.76362
"1019","20150618-1319_15m",2015-06-18,"1319_15m",1.01994
"1020","20150618-1320_10m",2015-06-18,"1320_10m",1.87968
"1021","20150702-1279_20m",2015-07-02,"1279_20m",1.53792
"1022","20150702-1280_15m",2015-07-02,"1280_15m",0.51264
"1023","20150702-1281_10m",2015-07-02,"1281_10m",5.1798
"1024","20150702-1281_5m",2015-07-02,"1281_5m",3.85548
"1025","20150702-1310_5m",2015-07-02,"1310_5m",0.83304
"1026","20150702-1318_20m",2015-07-02,"1318_20m",0.99324
"1027","20150702-1319_15m",2015-07-02,"1319_15m",1.94376
"1028","20150702-1320_10m",2015-07-02,"1320_10m",0.801
"1029","20150729-1279_20m",2015-07-29,"1279_20m",3.0705
"1030","20150729-1280_15m",2015-07-29,"1280_15m",3.5244
"1031","20150729-1281_10m",2015-07-29,"1281_10m",2.63796
"1032","20150729-1281_5m",2015-07-29,"1281_5m",3.0705
"1033","20150729-1310_5m",2015-07-29,"1310_5m",1.602
"1034","20150729-1318_20m",2015-07-29,"1318_20m",2.5365
"1035","20150729-1319_15m",2015-07-29,"1319_15m",3.17196
"1036","20150729-1320_10m",2015-07-29,"1320_10m",2.63796
"1037","20150818-1279_20m",2015-08-18,"1279_20m",2.01585
"1038","20150818-1280_15m",2015-08-18,"1280_15m",0.1869
"1039","20150818-1281_10m",2015-08-18,"1281_10m",5.05431
"1040","20150818-1281_5m",2015-08-18,"1281_5m",5.61501
"1041","20150818-1310_5m",2015-08-18,"1310_5m",3.72465
"1042","20150818-1318_20m",2015-08-18,"1318_20m",1.26825
"1043","20150818-1319_15m",2015-08-18,"1319_15m",2.31489
"1044","20150818-1320_10m",2015-08-18,"1320_10m",3.31881
"1045","20150828-1279_20m",2015-08-28,"1279_20m",2.406738
"1046","20150828-1280_15m",2015-08-28,"1280_15m",2.884401
"1047","20150828-1281_10m",2015-08-28,"1281_10m",6.347658
"1048","20150828-1281_5m",2015-08-28,"1281_5m",6.817578
"1049","20150828-1310_5m",2015-08-28,"1310_5m",5.076738
"1050","20150828-1319_15m",2015-08-28,"1319_15m",2.857968
"1051","20150828-1320_10m",2015-08-28,"1320_10m",5.044698
"1052","20150916-1279_20m",2015-09-16,"1279_20m",3.324684
"1053","20150916-1280_15m",2015-09-16,"1280_15m",4.098984
"1054","20150916-1281_10m",2015-09-16,"1281_10m",6.599706
"1055","20150916-1281_5m",2015-09-16,"1281_5m",6.052089
"1056","20150916-1310_5m",2015-09-16,"1310_5m",5.819532
"1057","20150916-1318_20m",2015-09-16,"1318_20m",3.757224
"1058","20150916-1320_10m",2015-09-16,"1320_10m",7.145454
"1059","20150923-1279_20m",2015-09-23,"1279_20m",2.901756
"1060","20150923-1280_15m",2015-09-23,"1280_15m",7.276818
"1061","20150923-1281_10m",2015-09-23,"1281_10m",8.857458
"1062","20150923-1281_5m",2015-09-23,"1281_5m",8.534388
"1063","20150923-1310_5m",2015-09-23,"1310_5m",6.522276
"1064","20150923-1318_20m",2015-09-23,"1318_20m",2.789616
"1065","20150923-1319_15m",2015-09-23,"1319_15m",6.362076
"1066","20150923-1320_10m",2015-09-23,"1320_10m",6.362076
"1067","20151006-1279_20m",2015-10-06,"1279_20m",2.679612
"1068","20151006-1280_15m",2015-10-06,"1280_15m",3.880044
"1069","20151006-1281_10m",2015-10-06,"1281_10m",6.05022
"1070","20151006-1281_5m",2015-10-06,"1281_5m",4.91547
"1071","20151006-1310_5m",2015-10-06,"1310_5m",1.65006
"1072","20151006-1318_20m",2015-10-06,"1318_20m",2.182992
"1073","20151006-1319_15m",2015-10-06,"1319_15m",2.067648
"1074","20151006-1320_10m",2015-10-06,"1320_10m",2.317026
"1075","20160418-1279_20m",2016-04-18,"1279_20m",1.76487
"1076","20160418-1280_15m",2016-04-18,"1280_15m",2.65932
"1077","20160418-1281_10m",2016-04-18,"1281_10m",0.50463
"1078","20160418-1281_5m",2016-04-18,"1281_5m",0.48861
"1079","20160418-1310_5m",2016-04-18,"1310_5m",1.56195
"1080","20160418-1318_20m",2016-04-18,"1318_20m",0.30171
"1081","20160418-1319_15m",2016-04-18,"1319_15m",0.21627
"1082","20160418-1320_10m",2016-04-18,"1320_10m",1.17747
"1083","20160510-1279_20m",2016-05-10,"1279_20m",1.86099
"1084","20160510-1280_15m",2016-05-10,"1280_15m",0
"1085","20160510-1281_10m",2016-05-10,"1281_10m",4.40283
"1086","20160510-1281_5m",2016-05-10,"1281_5m",1.81026
"1087","20160517-1279_20m",2016-05-17,"1279_20m",6.28518
"1088","20160517-1280_15m",2016-05-17,"1280_15m",7.24638
"1089","20160517-1281_10m",2016-05-17,"1281_10m",6.71772
"1090","20160517-1281_5m",2016-05-17,"1281_5m",7.39056
"1091","20160517-1310_5m",2016-05-17,"1310_5m",3.27609
"1092","20160517-1318_20m",2016-05-17,"1318_20m",5.11305
"1093","20160517-1319_15m",2016-05-17,"1319_15m",3.72198
"1094","20160517-1320_10m",2016-05-17,"1320_10m",3.40158
"1095","20160603-1279_20m",2016-06-03,"1279_20m",0.57405
"1096","20160603-1280_15m",2016-06-03,"1280_15m",0.81702
"1097","20160603-1281_10m",2016-06-03,"1281_10m",1.068
"1098","20160603-1281_5m",2016-06-03,"1281_5m",1.05732
"1099","20160603-1310_5m",2016-06-03,"1310_5m",0.60075
"1100","20160603-1318_20m",2016-06-03,"1318_20m",0.60876
"1101","20160603-1319_15m",2016-06-03,"1319_15m",0.9612
"1102","20160603-1320_10m",2016-06-03,"1320_10m",1.52724
"1103","20160613-1279_20m",2016-06-13,"1279_20m",1.05465
"1104","20160613-1280_15m",2016-06-13,"1280_15m",1.2015
"1105","20160613-1281_10m",2016-06-13,"1281_10m",1.52724
"1106","20160613-1281_5m",2016-06-13,"1281_5m",3.17196
"1107","20160613-1310_5m",2016-06-13,"1310_5m",0.50196
"1108","20160613-1318_20m",2016-06-13,"1318_20m",0.85974
"1109","20160613-1319_15m",2016-06-13,"1319_15m",1.45248
"1110","20160613-1320_10m",2016-06-13,"1320_10m",0.85974
"1111","20160720-1279_20m",2016-07-20,"1279_20m",0.6408
"1112","20160720-1280_15m",2016-07-20,"1280_15m",2.3763
"1113","20160720-1281_10m",2016-07-20,"1281_10m",1.83696
"1114","20160720-1281_5m",2016-07-20,"1281_5m",1.69812
"1115","20160720-1310_5m",2016-07-20,"1310_5m",1.2549
"1116","20160720-1318_20m",2016-07-20,"1318_20m",0.92382
"1117","20160720-1319_15m",2016-07-20,"1319_15m",2.15469
"1118","20160720-1320_10m",2016-07-20,"1320_10m",2.0025
"1119","20160727-1279_20m",2016-07-27,"1279_20m",0.3204
"1120","20160727-1280_15m",2016-07-27,"1280_15m",0.59808
"1121","20160727-1281_10m",2016-07-27,"1281_10m",1.23888
"1122","20160727-1281_5m",2016-07-27,"1281_5m",0.83304
"1123","20160728-1319_15m",2016-07-28,"1319_15m",0.9612
"1124","20160811-1279_20m",2016-08-11,"1279_20m",1.550736
"1125","20160811-1280_15m",2016-08-11,"1280_15m",1.926405
"1126","20160811-1281_10m",2016-08-11,"1281_10m",1.856985
"1127","20160811-1281_5m",2016-08-11,"1281_5m",0.534
"1128","20160824-1279_20m",2016-08-24,"1279_20m",1.2816
"1129","20160824-1280_15m",2016-08-24,"1280_15m",1.43913
"1130","20160824-1281_10m",2016-08-24,"1281_10m",1.839096
"1131","20160824-1281_5m",2016-08-24,"1281_5m",2.73942
"1132","20160824-1310_5m",2016-08-24,"1310_5m",1.3884
"1133","20160824-1318_20m",2016-08-24,"1318_20m",1.602
"1134","20160824-1319_15m",2016-08-24,"1319_15m",1.53792
"1135","20160824-1320_10m",2016-08-24,"1320_10m",1.7355
"1136","20160919-1279_20m",2016-09-19,"1279_20m",5.4735
"1137","20160919-1281_10m",2016-09-19,"1281_10m",4.99824
"1138","20160920-1319_15m",2016-09-20,"1319_15m",4.328604
"1139","20170509-1280_15m",2017-05-09,"1280_15m",4.33
"1140","20170509-1281_10m",2017-05-09,"1281_10m",15.25
"1141","20170509-1281_5m",2017-05-09,"1281_5m",2.63
"1142","20170516-1279_20m",2017-05-16,"1279_20m",2.4
"1143","20170516-1280_15m",2017-05-16,"1280_15m",7.62
"1144","20170516-1281_10m",2017-05-16,"1281_10m",5.13
"1145","20170516-1281_5m",2017-05-16,"1281_5m",4.06
"1146","20170516-1310_5m",2017-05-16,"1310_5m",4.58
"1147","20170516-1318_20m",2017-05-16,"1318_20m",2.19
"1148","20170516-1319_15m",2017-05-16,"1319_15m",9.43
"1149","20170516-1320_10m",2017-05-16,"1320_10m",7.75
"1150","20170601-1279_20m",2017-06-01,"1279_20m",0.53
"1151","20170601-1280_15m",2017-06-01,"1280_15m",0.74
"1152","20170601-1281_10m",2017-06-01,"1281_10m",0.34
"1153","20170601-1281_5m",2017-06-01,"1281_5m",0.63
"1154","20170601-1310_5m",2017-06-01,"1310_5m",1.13
"1155","20170601-1318_20m",2017-06-01,"1318_20m",0.37
"1156","20170601-1319_15m",2017-06-01,"1319_15m",0.48
"1157","20170601-1320_10m",2017-06-01,"1320_10m",0.66
"1158","20170613-1279_20m",2017-06-13,"1279_20m",1.85
"1159","20170613-1280_15m",2017-06-13,"1280_15m",0.95
"1160","20170613-1281_10m",2017-06-13,"1281_10m",3.04
"1161","20170615-1319_15m",2017-06-15,"1319_15m",1.44
"1162","20170706-1279_20m",2017-07-06,"1279_20m",2.95
"1163","20170706-1280_15m",2017-07-06,"1280_15m",2.27
"1164","20170706-1281_10m",2017-07-06,"1281_10m",2
"1165","20170706-1281_5m",2017-07-06,"1281_5m",3.07
"1166","20170706-1310_5m",2017-07-06,"1310_5m",1.23
"1167","20170706-1318_20m",2017-07-06,"1318_20m",2.35
"1168","20170706-1319_15m",2017-07-06,"1319_15m",3.56
"1169","20170706-1320_10m",2017-07-06,"1320_10m",2.26
"1170","20170726-1279_20m",2017-07-26,"1279_20m",1.41
"1171","20170726-1319_15m",2017-07-26,"1319_15m",1.38
"1172","20170810-1279_20m",2017-08-10,"1279_20m",2.96
"1173","20170810-1280_15m",2017-08-10,"1280_15m",2.47
"1174","20170810-1281_10m",2017-08-10,"1281_10m",4.69
"1175","20170810-1281_5m",2017-08-10,"1281_5m",5.38
"1176","20170810-1310_5m",2017-08-10,"1310_5m",2.58
"1177","20170810-1318_20m",2017-08-10,"1318_20m",2.42
"1178","20170810-1319_15m",2017-08-10,"1319_15m",3.06
"1179","20170810-1320_10m",2017-08-10,"1320_10m",2.32
"1180","20170824-1279_20m",2017-08-24,"1279_20m",4.04
"1181","20170824-1280_15m",2017-08-24,"1280_15m",4.58
"1182","20170824-1281_10m",2017-08-24,"1281_10m",3.38
"1183","20170824-1281_5m",2017-08-24,"1281_5m",4.16
"1184","20170913-1279_20m",2017-09-13,"1279_20m",7.78
"1185","20170913-1280_15m",2017-09-13,"1280_15m",7.23
"1186","20170913-1281_5m",2017-09-13,"1281_5m",6.23
"1187","20170913-1310_5m",2017-09-13,"1310_5m",5.04
"1188","20170913-1318_20m",2017-09-13,"1318_20m",8.05
"1189","20170913-1319_15m",2017-09-13,"1319_15m",7.64
"1190","20170913-1320_10m",2017-09-13,"1320_10m",5.61
"1191","19950601-14-972",1995-06-01,"14-972",0
"1192","19950601-16-970",1995-06-01,"16-970",0
"1193","19950601-27-918",1995-06-01,"27-918",0
"1194","19950601-29-905",1995-06-01,"29-905",0
"1195","19950601-36-873",1995-06-01,"36-873",0
"1196","19950601-37-890",1995-06-01,"37-890",0
"1197","19950601-8-994",1995-06-01,"8-994",0
"1198","19950606-14-972",1995-06-06,"14-972",0
"1199","19950606-16-970",1995-06-06,"16-970",0
"1200","19950607-27-918",1995-06-07,"27-918",0
"1201","19950607-29-905",1995-06-07,"29-905",0
"1202","19950607-36-873",1995-06-07,"36-873",20.826
"1203","19950607-37-890",1995-06-07,"37-890",0
"1204","19950606-8-994",1995-06-06,"8-994",0
"1205","19950614-14-972",1995-06-14,"14-972",0.9612
"1206","19950614-16-970",1995-06-14,"16-970",0.9612
"1207","19950615-27-918",1995-06-15,"27-918",0.35244
"1208","19950615-29-905",1995-06-15,"29-905",1.15344
"1209","19950615-36-873",1995-06-15,"36-873",0.8544
"1210","19950615-37-890",1995-06-15,"37-890",2.4564
"1211","19950614-8-994",1995-06-14,"8-994",1.08936
"1212","19950620-14-972",1995-06-20,"14-972",2.937
"1213","19950622-16-970",1995-06-22,"16-970",0
"1214","19950619-27-918",1995-06-19,"27-918",0.38448
"1215","19950619-29-905",1995-06-19,"29-905",0.83304
"1216","19950619-36-873",1995-06-19,"36-873",2.2962
"1217","19950619-37-890",1995-06-19,"37-890",6.0876
"1218","19950620-3-996",1995-06-20,"3-996",2.81952
"1219","19950620-8-994",1995-06-20,"8-994",2.136
"1220","19950626-14-972",1995-06-26,"14-972",7.77504
"1221","19950626-16-970",1995-06-26,"16-970",4.3254
"1222","19950626-27-918",1995-06-26,"27-918",3.64188
"1223","19950626-29-905",1995-06-26,"29-905",1.15344
"1224","19950629-36-873",1995-06-29,"36-873",0
"1225","19950626-37-890",1995-06-26,"37-890",2.37096
"1226","19950626-8-994",1995-06-26,"8-994",2.937
"1227","19950705-8-994",1995-07-05,"8-994",0
"1228","19950710-14-972",1995-07-10,"14-972",1.18548
"1229","19950710-16-970",1995-07-10,"16-970",2.11464
"1230","19950710-27-918",1995-07-10,"27-918",1.3884
"1231","19950710-29-905",1995-07-10,"29-905",7.209
"1232","19950710-36-873",1995-07-10,"36-873",3.19332
"1233","19950710-37-890",1995-07-10,"37-890",10.16736
"1234","19950710-8-994",1995-07-10,"8-994",4.1118
"1235","19950717-14-972",1995-07-17,"14-972",2.67
"1236","19950717-16-970",1995-07-17,"16-970",1.11072
"1237","19950717-27-918",1995-07-17,"27-918",0.66216
"1238","19950717-29-905",1995-07-17,"29-905",0.29904
"1239","19950719-36-873",1995-07-19,"36-873",1.602
"1240","19950717-37-890",1995-07-17,"37-890",12.816
"1241","19950717-3-996",1995-07-17,"3-996",0
"1242","19950717-8-994",1995-07-17,"8-994",6.3e-16
"1243","19960522-3-996",1996-05-22,"3-996",3.20133
"1244","19960523-14-972",1996-05-23,"14-972",2.11197
"1245","19960523-16-970",1996-05-23,"16-970",6.53349
"1246","19960523-8-994",1996-05-23,"8-994",2.27217
"1247","19960531-27-918",1996-05-31,"27-918",4.82202
"1248","19960531-29-905",1996-05-31,"29-905",1.34568
"1249","19960531-36-873",1996-05-31,"36-873",0.8544
"1250","19960531-37-890",1996-05-31,"37-890",0.17622
"1251","19960604-16-970",1996-06-04,"16-970",1.90371
"1252","19960604-27-918",1996-06-04,"27-918",1.59399
"1253","19960604-29-905",1996-06-04,"29-905",1.17747
"1254","19960604-36-873",1996-06-04,"36-873",1.86099
"1255","19960604-37-890",1996-06-04,"37-890",1.73283
"1256","19960605-14-972",1996-06-05,"14-972",2.23479
"1257","19960605-8-994",1996-06-05,"8-994",1.75419
"1258","19960611-14-972",1996-06-11,"14-972",3.86082
"1259","19960611-16-970",1996-06-11,"16-970",1.85298
"1260","19960611-8-994",1996-06-11,"8-994",1.38306
"1261","19960613-27-918",1996-06-13,"27-918",1.53792
"1262","19960613-29-905",1996-06-13,"29-905",3.01176
"1263","19960613-36-873",1996-06-13,"36-873",2.136
"1264","19960613-37-890",1996-06-13,"37-890",0.56604
"1265","19960617-27-918",1996-06-17,"27-918",0.33108
"1266","19960617-29-905",1996-06-17,"29-905",0.52332
"1267","19960619-3-996",1996-06-19,"3-996",1.43112
"1268","19960619-8-994",1996-06-19,"8-994",5.24388
"1269","19960626-36-873",1996-06-26,"36-873",7.61751
"1270","19960627-14-972",1996-06-27,"14-972",0.53934
"1271","19960627-16-970",1996-06-27,"16-970",1.3083
"1272","19960701-16-970",1996-07-01,"16-970",2.63796
"1273","19960702-27-918",1996-07-02,"27-918",1.4418
